# id;userLogin;tourId;cancelled
1;maria_tourist;1;0
2;maria_tourist;3;0
3;ivan_user;2;0
4;ivan_user;7;1
5;maria_tourist;5;0
6;alex_trip;9;0
7;alex_trip;14;1
8;kate_sun;8;0
9;kate_sun;12;0
10;oleg_travel;6;0
11;oleg_travel;15;1
12;nina_holiday;4;0
13;nina_holiday;17;0
14;petr_client;18;0
15;petr_client;19;0
16;sergey_go;10;0
17;sergey_go;20;0
19;lena_beach;14;1
21;ivan_user;16;0
22;alex_trip;2;0
23;kate_sun;1;1
24;nina_holiday;5;0
25;petr_client;7;0
26;maks_resort;21;0
27;maks_resort;25;0
28;elena_voyage;22;0
29;elena_voyage;10;0
31;dmitry_sea;14;0
32;svetlana_ski;24;0
33;svetlana_ski;28;1
34;andrey_city;26;0
35;andrey_city;27;0
36;olga_island;29;0
37;olga_island;30;0
38;viktor_cruise;4;0
39;viktor_cruise;8;0
40;natalia_spa;14;0
41;natalia_spa;5;0
42;roman_hike;6;0
43;julia_wine;17;0
44;kirill_north;24;0
45;tatiana_lake;3;0
46;maks_resort;12;0
47;lena_beach;30;0
48;sergey_go;21;1
49;dmitry_sea;1;0
50;elena_voyage;20;0
51;user;19;0
52;user;26;0
#checksum_bookings 3413193892
